time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-07-19T20:24:50.734Z,52.1448,-170.3426,35,3.3,ml,19,215,0.698,0.95,us,us7000n0fr,2024-07-20T17:52:28.040Z,"133 km SW of Nikolski, Alaska",earthquake,5.28,2.018,0.081,20,reviewed,us,us
2024-07-19T19:21:52.400Z,40.3743333333333,-125.990833333333,10,2.95,md,60,278,1.263,0.31,nc,nc75037002,2024-07-20T18:34:23.719Z,"145 km WNW of Petrolia, CA",earthquake,1.32,31.61,0.253,45,reviewed,nc,nc
2024-07-19T18:53:52.906Z,-22.653,-70.6313,18.072,4.2,mwr,49,136,0.98,0.86,us,us7000n0cl,2024-07-19T21:09:32.040Z,"52 km NNW of Mejillones, Chile",earthquake,4.55,4.492,0.055,32,reviewed,us,us
2024-07-19T17:19:34.732Z,53.1883,-174.322,232.431,3.5,ml,22,176,0.806,0.48,us,us7000n0fm,2024-07-20T17:44:47.040Z,"110 km N of Atka, Alaska",earthquake,24.39,31.902,0.077,22,reviewed,us,us
2024-07-19T16:05:28.572Z,-20.1187,-68.0326,183.725,4.6,mb,35,86,1.053,1.15,us,us7000n09y,2024-07-19T16:34:11.040Z,"112 km SE of Colchane, Chile",earthquake,3.89,7.359,0.112,24,reviewed,us,us
2024-07-19T14:36:14.343Z,1.5307,127.7497,8.61,5.1,mb,103,80,0.845,0.8,us,us7000n09f,2024-07-19T14:53:58.040Z,"36 km SW of Tobelo, Indonesia",earthquake,5.96,3.974,0.048,142,reviewed,us,us
2024-07-19T14:35:02.860Z,45.862,-111.9545,7.84,2.77,ml,46,40,0.134,0.1,mb,mb90057468,2024-07-19T21:29:13.920Z,"0 km NW of Cardwell, Montana",earthquake,0.18,0.53,0.277108635613475,48,reviewed,mb,mb
2024-07-19T14:31:30.025Z,1.5215,127.7791,10,5,mb,35,102,0.851,0.54,us,us7000n09e,2024-07-19T14:49:16.040Z,"34 km SW of Tobelo, Indonesia",earthquake,7.5,1.912,0.1,32,reviewed,us,us
2024-07-19T13:36:04.786Z,0.7544,126.0762,31.468,5,mb,63,57,1.29,0.98,us,us7000n095,2024-07-19T13:53:22.040Z,"129 km SE of Bitung, Indonesia",earthquake,7.15,4.053,0.066,73,reviewed,us,us
2024-07-19T12:37:11.106Z,44.6157,148.3223,70.923,4.4,mb,47,134,4.138,0.62,us,us7000n08y,2024-07-20T05:49:35.040Z,"76 km SSE of Kuril’sk, Russia",earthquake,9.81,5.678,0.065,67,reviewed,us,us
2024-07-19T11:44:38.397Z,-23.2973,-67.7819,135.823,4.3,mb,31,71,0.502,1.08,us,us7000n08q,2024-07-19T13:20:43.040Z,"60 km SE of San Pedro de Atacama, Chile",earthquake,5.14,5.739,0.178,9,reviewed,us,us
2024-07-19T11:21:20.013Z,32.33,-101.077,8.6182,3.6,ml,34,44,0.2,0.1,tx,tx2024ochc,2024-07-19T13:52:52.123Z,"6 km WSW of Westbrook, Texas",earthquake,0.6471278056632483,1.5228806177498595,0.2,28,reviewed,tx,tx
